month,pincode,mbu_demand
2025-03,110001,191
2025-03,110002,260
2025-03,110003,347
2025-03,110005,441
2025-03,110006,901
2025-03,110007,487
2025-03,110008,633
2025-03,110009,360
2025-03,110010,295
2025-03,110011,37
2025-03,110012,206
2025-03,110013,183
2025-03,110014,406
2025-03,110015,666
2025-03,110016,153
2025-03,110017,327
2025-03,110018,1022
2025-03,110019,577
2025-03,110020,336
2025-03,110021,253
2025-03,110022,206
2025-03,110023,160
2025-03,110024,123
2025-03,110025,910
2025-03,110026,87
2025-03,110027,546
2025-03,110028,408
2025-03,110029,76
2025-03,110030,528
2025-03,110031,554
2025-03,110032,1132
2025-03,110033,1241
2025-03,110034,695
2025-03,110035,321
2025-03,110036,745
2025-03,110037,688
2025-03,110038,142
2025-03,110039,959
2025-03,110040,1239
2025-03,110041,2045
2025-03,110042,2351
2025-03,110043,2110
2025-03,110044,2205
2025-03,110045,1080
2025-03,110046,568
2025-03,110047,575
2025-03,110048,105
2025-03,110049,180
2025-03,110051,501
2025-03,110052,602
2025-03,110053,2245
2025-03,110054,355
2025-03,110055,346
2025-03,110056,117
2025-03,110057,302
2025-03,110058,162
2025-03,110059,3279
2025-03,110060,19
2025-03,110061,284
2025-03,110062,2324
2025-03,110063,378
2025-03,110064,201
2025-03,110065,363
2025-03,110066,73
2025-03,110067,172
2025-03,110068,238
2025-03,110070,223
2025-03,110071,239
2025-03,110072,183
2025-03,110073,301
2025-03,110074,940
2025-03,110075,232
2025-03,110076,743
2025-03,110077,374
2025-03,110078,475
2025-03,110080,222
2025-03,110081,819
2025-03,110082,477
2025-03,110083,735
2025-03,110084,857
2025-03,110085,1388
2025-03,110086,2845
2025-03,110087,227
2025-03,110088,548
2025-03,110089,267
2025-03,110091,1004
2025-03,110092,1264
2025-03,110093,1322
2025-03,110094,2939
2025-03,110095,626
2025-03,110096,901
2025-03,121001,1144
2025-03,121002,706
2025-03,121003,588
2025-03,121004,1870
2025-03,121005,693
2025-03,121006,204
2025-03,121007,76
2025-03,121008,63
2025-03,121009,109
2025-03,121010,48
2025-03,121012,16
2025-03,121013,101
2025-03,121101,269
2025-03,121102,1127
2025-03,121103,449
2025-03,121105,293
2025-03,121106,437
2025-03,121107,267
2025-03,121705,215
2025-03,122001,1332
2025-03,122002,101
2025-03,122003,117
2025-03,122004,153
2025-03,122006,99
2025-03,122009,21
2025-03,122011,50
2025-03,122015,30
2025-03,122016,28
2025-03,122017,132
2025-03,122018,82
2025-03,122051,44
2025-03,122052,11
2025-03,122101,183
2025-03,122102,182
2025-03,122103,471
2025-03,122104,270
2025-03,122105,381
2025-03,122107,532
2025-03,122108,464
2025-03,122413,165
2025-03,122414,112
2025-03,122502,98
2025-03,122503,246
2025-03,122504,106
2025-03,122505,120
2025-03,122506,106
2025-03,122508,792
2025-03,123001,454
2025-03,123021,216
2025-03,123023,194
2025-03,123024,195
2025-03,123027,187
2025-03,123028,78
2025-03,123029,280
2025-03,123034,117
2025-03,123035,75
2025-03,123101,96
2025-03,123102,96
2025-03,123103,71
2025-03,123106,197
2025-03,123110,32
2025-03,123301,63
2025-03,123302,121
2025-03,123303,115
2025-03,123401,810
2025-03,123411,161
2025-03,123412,59
2025-03,123501,182
2025-03,124001,1217
2025-03,124021,89
2025-03,124022,46
2025-03,124102,70
2025-03,124103,320
2025-03,124104,94
2025-03,124105,117
2025-03,124106,165
2025-03,124107,84
2025-03,124108,120
2025-03,124109,102
2025-03,124111,139
2025-03,124112,246
2025-03,124113,110
2025-03,124142,53
2025-03,124146,126
2025-03,124201,87
2025-03,124202,78
2025-03,124303,128
2025-03,124401,105
2025-03,124404,65
2025-03,124406,53
2025-03,124411,75
2025-03,124412,48
2025-03,124501,311
2025-03,124504,40
2025-03,124505,88
2025-03,124506,27
2025-03,124507,804
2025-03,124513,43
2025-03,124514,188
2025-03,125001,1271
2025-03,125004,107
2025-03,125005,94
2025-03,125006,79
2025-03,125033,546
2025-03,125037,46
2025-03,125038,80
2025-03,125039,278
2025-03,125042,133
2025-03,125044,133
2025-03,125047,215
2025-03,125048,137
2025-03,125049,115
2025-03,125050,745
2025-03,125051,969
2025-03,125052,297
2025-03,125053,184
2025-03,125054,64
2025-03,125055,1428
2025-03,125058,98
2025-03,125060,183
2025-03,125075,149
2025-03,125076,141
2025-03,125077,163
2025-03,125078,146
2025-03,125101,63
2025-03,125102,295
2025-03,125103,172
2025-03,125104,433
2025-03,125106,257
2025-03,125110,303
2025-03,125111,317
2025-03,125112,174
2025-03,125113,366
2025-03,125120,610
2025-03,125121,496
2025-03,125133,133
2025-03,125201,375
2025-03,126101,219
2025-03,126102,821
2025-03,126110,68
2025-03,126111,83
2025-03,126112,356
2025-03,126113,248
2025-03,126114,183
2025-03,126115,309
2025-03,126116,845
2025-03,126125,164
2025-03,126152,266
2025-03,127021,920
2025-03,127022,42
2025-03,127025,56
2025-03,127026,66
2025-03,127027,62
2025-03,127028,200
2025-03,127029,98
2025-03,127030,120
2025-03,127031,161
2025-03,127032,197
2025-03,127035,86
2025-03,127040,343
2025-03,127041,144
2025-03,127042,73
2025-03,127043,133
2025-03,127045,32
2025-03,127046,297
2025-03,127110,18
2025-03,127111,125
2025-03,127114,87
2025-03,127201,314
2025-03,127306,252
2025-03,127307,36
2025-03,127308,203
2025-03,127309,126
2025-03,127310,126
2025-03,127312,12
2025-03,131001,1085
2025-03,131021,150
2025-03,131022,53
2025-03,131023,132
2025-03,131024,73
2025-03,131027,149
2025-03,131028,52
2025-03,131029,147
2025-03,131039,102
2025-03,131101,387
2025-03,131102,61
2025-03,131103,94
2025-03,131301,534
2025-03,131302,108
2025-03,131304,102
2025-03,131305,51
2025-03,131306,123
2025-03,131402,220
2025-03,131403,51
2025-03,131408,115
2025-03,131409,42
2025-03,132001,1101
2025-03,132022,46
2025-03,132023,48
2025-03,132024,154
2025-03,132036,148
2025-03,132037,78
2025-03,132039,352
2025-03,132040,124
2025-03,132041,233
2025-03,132046,97
2025-03,132054,116
2025-03,132101,314
2025-03,132102,55
2025-03,132103,2013
2025-03,132104,214
2025-03,132105,51
2025-03,132107,167
2025-03,132108,54
2025-03,132113,170
2025-03,132114,434
2025-03,132115,30
2025-03,132116,248
2025-03,132117,145
2025-03,132122,72
2025-03,132140,83
2025-03,132145,70
2025-03,132157,100
2025-03,133001,501
2025-03,133004,143
2025-03,133005,73
2025-03,133021,30
2025-03,133101,34
2025-03,133102,66
2025-03,133103,236
2025-03,133104,104
2025-03,133105,16
2025-03,133201,149
2025-03,133202,83
2025-03,133203,71
2025-03,133204,194
2025-03,133205,131
2025-03,133206,91
2025-03,133301,43
2025-03,133302,176
2025-03,134003,792
2025-03,134007,72
2025-03,134011,20
2025-03,134102,240
2025-03,134104,23
2025-03,134107,51
2025-03,134108,17
2025-03,134109,196
2025-03,134112,67
2025-03,134113,213
2025-03,134114,20
2025-03,134116,145
2025-03,134117,13
2025-03,134118,271
2025-03,134201,101
2025-03,134202,193
2025-03,134203,335
2025-03,134204,143
2025-03,134205,43
2025-03,135001,1180
2025-03,135002,86
2025-03,135003,347
2025-03,135021,137
2025-03,135101,227
2025-03,135102,217
2025-03,135103,166
2025-03,135106,119
2025-03,135133,302
2025-03,136020,127
2025-03,136021,132
2025-03,136026,231
2025-03,136027,1063
2025-03,136030,111
2025-03,136033,135
2025-03,136034,301
2025-03,136035,135
2025-03,136038,57
2025-03,136042,139
2025-03,136043,293
2025-03,136044,235
