pincode,bio_age_5_17,demo_age_5_17,age_5_17,mbu_rate,demo_rate,risk_category,ihs_score,strategy,state,district
524301,563.0,36.0,14.0,40.214285714285715,2.5714285714285716,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524302,1143.0,61.0,19.0,60.1578947368421,3.210526315789474,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524303,672.0,33.0,17.0,39.529411764705884,1.9411764705882353,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524304,481.0,45.0,33.0,14.575757575757576,1.3636363636363635,Low Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524305,2473.0,250.0,83.0,29.795180722891565,3.0120481927710845,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524306,836.0,75.0,10.0,83.6,7.5,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524307,866.0,45.0,13.0,66.61538461538461,3.4615384615384617,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524308,1237.0,103.0,51.0,24.254901960784313,2.019607843137255,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524309,1252.0,114.0,38.0,32.94736842105263,3.0,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524310,572.0,81.0,8.0,71.5,10.125,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524311,1007.0,69.0,28.0,35.964285714285715,2.4642857142857144,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524312,620.0,44.0,8.0,77.5,5.5,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524313,924.0,131.0,37.0,24.972972972972972,3.5405405405405403,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524314,1703.0,165.0,27.0,63.074074074074076,6.111111111111111,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524315,2641.0,173.0,126.0,20.96031746031746,1.373015873015873,Medium Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
524316,825.0,40.0,6.0,137.5,6.666666666666667,High Load,900.0,Maintain (Digital Nudges),Andhra Pradesh,Nellore
131101,3795.0,680.0,11.0,345.0,61.81818181818182,High Load,900.0,Maintain (Digital Nudges),Haryana,Sonipat
